product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,has_narrative,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue,clean_narratives
"Money transfer, virtual currency, or money service","On XX/XX/2023. I wire transferred {$2900.00} to an online merchant via my bank J.P. Morgan Chase. Later, I found out that the merchant was a scam/fraud. On XX/XX/2023, I contacted the bank to get the money back, but the bank denied the claim due to the fact that they don't insure wire transfers.",2023-12-30 12:00:00-05:00,Fraud or scam,Domestic (US) money transfer,33579,Older American,True,8082878,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-30 12:00:00-05:00,FL,N/A,,,"On [R]/2023. I wire transferred {$2900.00} to an online merchant via my bank J.P. Morgan Chase. Later, I found out that the merchant was a scam/fraud. On [R]/2023, I contacted the bank to get the money back, but the bank denied the claim due to the fact that they don't insure wire transfers."
Checking or savings account,"On XX/XX/2023 I received a phone call from Chase Bank. Was told my account was at risk to outside thieves. I was asked to have {$48000.00} wired from my Savings to the so called wrong account to be rewired into my account, to fix the problem. I was called the next day to do the exact same thing. Now, XXXX was pending out of my account. Both times I was locked out of my account. They released my account to do these wire transfers to help protect my money. So I was told. Later I find out that they called the people who took my money and they said that they were using it to build a business. My chase bank never called me to verify that it was me who was doing transfers but instead the thieves who somehow got the call instead of me. They sent the money to the thieves without my approval. I filled out a full report to the bank but they called back saying that the money was gone and nothing could be done even though I didnt approve of the transfer of XXXX dollars.",2024-01-03 12:00:00-05:00,Managing an account,Savings account,95242,,True,8082271,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,CA,N/A,,Funds not handled or disbursed as instructed,"On [R]/2023 I received a phone call from Chase Bank. Was told my account was at risk to outside thieves. I was asked to have {$48000.00} wired from my Savings to the so called wrong account to be rewired into my account, to fix the problem. I was called the next day to do the exact same thing. Now, [R] was pending out of my account. Both times I was locked out of my account. They released my account to do these wire transfers to help protect my money. So I was told. Later I find out that they ca"
Checking or savings account,"I simply asked them to close my saving account and transfer {$300.00} that was in there to my checking account. 
It has been 2 months and these idiots havent given me my money. First they said it was transferred to my checking and then they reversed it. 
I have filed XXXX CFPB complaints and they keep closing that saying that they are sending me a check. Finally I get a check and I deposit and and then that is reversed as well as they put a stop payment on this check. So I have no clue what these idiots are doing. When I call them, they keep transferring me from one department to another. I have a voice mail from XXXX or XXXX from their so called XXXX Executive customer service that this check is good and they are closing the case, but of course they were lying again. 

XX/XX/2023 Telephone transfer to XXXX XXXX XXXXXXXX XXXX - {$300.00} {$200.00} XX/XX/2023 Telephone transfer from XXXX XXXX Account transfer {$300.00} {$500.00} XX/XX/2023 DEPOSITED ITEM RETURNED Stop Payment XXXXXXXX XXXX XXXX  XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX | Returned deposit item - {$300.00} {$200.00} XX/XX/2023 XXXX XXXX XXXX XXXX XXXX | Deposit {$300.00} {$500.00}",2023-12-31 12:00:00-05:00,Managing an account,Savings account,07047,,True,8082536,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,NJ,N/A,,Banking errors,"I simply asked them to close my saving account and transfer {$300.00} that was in there to my checking account. 
It has been 2 months and these idiots havent given me my money. First they said it was transferred to my checking and then they reversed it. 
I have filed [R] CFPB complaints and they keep closing that saying that they are sending me a check. Finally I get a check and I deposit and and then that is reversed as well as they put a stop payment on this check. So I have no clue what these"
Checking or savings account,"So In XXXX Chase closed my credit card due to "" inappropriate conduct '' i believe they closed it because they don't like that im critical of them because when you have an issue with chase their customer support agents don't help with anything they deny your help 100 % of the time employees don't give enough information on your issue. For example i filed a dispute on XXXX in XXXX of 2023 because they charged me on something they should not have a few weeks later chase sides with them and reverses the chargeback i call customer support and they say that XXXX tried to contact me and i didnt respond witch is not true and to reach out to the merchant but the merchant did not want to respond. i was able to get it reversed through twitter but it shouldn't have been reversed in the first place, also recently in XXXX they allow a company to overdraw my account with no way of getting my money back when presented to chase they say that they are unable to do anything and because of that i decided to criticise them to be fair there where moments where i said "" XXXX and XXXX '' but they are acting like i was threatening them now today XXXX i cant use my Debit card or savings account and they are holding my money XXXX until a check arrives not only that they closed it with no word until i got annoying and they decided to spit the reason out over the phone but they allow me to use a credit card still witch i got 2 weeks ago they are trying to do something wrong to me by hoping ill overuse the credit card so i can be more in debt. not only that they make sure to go above and beyond when you want to dispute a credit card charge but when it comes to debit transactions they do very little.",2023-12-31 12:00:00-05:00,Closing an account,Checking account,90044,,True,8085995,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,CA,N/A,,Company closed your account,"So In [R] Chase closed my credit card due to "" inappropriate conduct '' i believe they closed it because they don't like that im critical of them because when you have an issue with chase their customer support agents don't help with anything they deny your help 100 % of the time employees don't give enough information on your issue. For example i filed a dispute on [R] in [R] of 2023 because they charged me on something they should not have a few weeks later chase sides with them and reverses t"
Checking or savings account,"I am an XXXX XXXXXXXX XXXX XXXX I have {$520000.00} in my Chase checking account. I was the victim of an XXXX XXXX scam which was detected on XX/XX/XXXX. The scam was reported to XXXX XXXXXXXX XXXX XXXX XXXX  Police and is being actively investigated by the FBI ( contact details can be provided upon request ). Since XX/XX/XXXX I have been trying to have the Chase checking funds returned to me. I have on numerous occasions visited the branch, phoned, etc ( details can be provided upon request ). I need these funds for living expenses and investment purposes. I am extremely distraught by Chase 's horrible treatment. Not only were they negligent in not noting the obvious signs of the scam, but they are adding insult to injury by not returning the money I have with them.",2023-12-31 12:00:00-05:00,Managing an account,Checking account,20817,Older American,True,8086278,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,MD,N/A,,Deposits and withdrawals,"I am an [R] I have {$520000.00} in my Chase checking account. I was the victim of an [R] scam which was detected on [R]. The scam was reported to [R]  Police and is being actively investigated by the FBI ( contact details can be provided upon request ). Since [R] I have been trying to have the Chase checking funds returned to me. I have on numerous occasions visited the branch, phoned, etc ( details can be provided upon request ). I need these funds for living expenses and investment purposes. I"
Credit card,"I received an email on XX/XX/XXXX from Chase stating the following : "" As of XX/XX/XXXX, our records indicate that you may have a {$500.00} United Airlines travel credit available for redemption, expiring on XX/XX/XXXXXXXX XXXX This means you must book your flight prior to XX/XX/XXXXXXXX XXXX but your travel date may occur after. '' On XX/XX/XXXX, I tried to redeem the remaining credit amount of {$140.00} towards a flight with travel dates XX/XX/XXXX - XX/XX/XXXX and was told the travel can not occur after XX/XX/XXXXXXXX  and that I will lose my credit tomorrow. When i referred to the email that i had received from Chase- the agent called it a "" general email '' that was sent out - when in fact it had very specific information about my credit and it was personally addressed to me. The original email clearly states that I can use it for travel after the date and had I known I had to travel prior to this date, I would have booked earlier in XXXX  This was inaccurate and very confusing information provided by Chase and they should be held responsible for the money/credit I will be losing.",2023-12-31 12:00:00-05:00,"Other features, terms, or problems",General-purpose credit card or charge card,94306,,True,8084921,Yes,Consent provided,Closed with non-monetary relief,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,CA,N/A,,Problem with rewards from credit card,"I received an email on [R] from Chase stating the following : "" As of [R], our records indicate that you may have a {$500.00} United Airlines travel credit available for redemption, expiring on [R] This means you must book your flight prior to [R] but your travel date may occur after. '' On [R], I tried to redeem the remaining credit amount of {$140.00} towards a flight with travel dates [R] - [R] and was told the travel can not occur after [R]  and that I will lose my credit tomorrow. When i re"
Credit card,"I've been having a litany of problems with Chase over the past 2 months and I have reason to believe they have broken a multitude of consumer finance laws regarding both of my credit card accounts. 

At some point in XXXX or XXXX of XXXX, they introduced a new digital services agreement requiring consent to access your online accounts. Upon advice from a lawyer, I did not consent to either of these digital service agreements due to privacy concerns. Therefore, I have been locked out of my online Chase accounts and unable to pay my bills online or access my rewards for both credit card accounts. I did not consent to these agreements because I refuse to allow Chase to sell my private financial data to data brokers. 

I've previously had a XXXX  % on-time payment history in my XXXX  years of credit history, but have been having a number of personal & financial difficulties recently including job loss, illness, and XXXX. So I called Chase on XX/XX/XXXX to request a deferment or forbearance on my accounts. I felt this was a reasonable request considering my payment history as well as the hyperinflationary crisis occurring in the macroeconomy. Chase refused to grant me this request and instead advised me to not pay my bills and go into default on my accounts. While speaking to Chase on XX/XX/XXXX, I was informed that there were additional changes to their agreement terms that were separate from the updated digital services agreement which were sent to my online accounts. I was not able to access these new terms because I was previously setup for electronic communications, but was/am locked out of my online Chase accounts so did not receive these important time-sensitive notices affecting my legal rights. I requested they send me these new terms in the mail in a timely manner so I could forward them to a lawyer for review. 

Instead of receiving these updated terms in a timely manner, Chase sent me a printed notice dated XX/XX/XXXX stating they had not sent any changes to my account recently. I will note this is notice is factually incorrect and contrary to what I was told over the phone. 

I again had to call Chase on XX/XX/XXXX after receiving this incorrect notice to request printed agreement terms to forward to a lawyer for review. Instead of receiving these agreement terms, I received a printed notice from Chase dated XX/XX/XXXX incorrectly stating that one of my accounts had been closed at my request. I never requested for that account to be closed and when I called Chase for clarification on XX/XX/XXXX I was told by multiple people that XXXX of my accounts were still open and in good standing. 

My understanding is that this is duplicitous, unethical, and illegal for breaking consumer finance regulations. Chase has repeatedly told me things over the phone that are contrary & contradictory to things that Chase has mailed me in writing. This lead to me forming a support ticket with Chase 's executive office which is still under their internal investigation. I also requested a hardship settlement for my accounts but was denied over the phone, which is contrary to a printed letter they previously sent me in writing. 

Since I had not received the updated terms yet and the issue was time-sensitive, a lawyer was able to track down the revised agreement terms from another Chase Freedom Unlimited customer. The lawyer notified me the new agreement terms contained an arbitration agreement which had to be opted out of in-writing in a timely manner. So I wrote & mailed two letters each dated XX/XX/XXXX notifying Chase that I reject their arbitration agreements. I later received the updated terms for XXXX  accounts which were dated XX/XX/XXXX but I did not receive them until after I mailed my letters of arbitration rejection on XX/XX/XXXX. 

On XX/XX/XXXX I made the minimum payment due of {$720.00} for XXXX of my accounts in-person Under Duress. The payment was made Under Duress because Chase refused to grant me a deferment, forbearance, or hardship settlement, and I had to borrow the money to make the payment even though I can not afford it. I will note that Chase refused these simple, reasonable requests despite us being in an active dispute requiring them to conduct an internal investigation over the integrity of their systems. I will also note that making payments in-person is extremely inconvenient for me, and that making payments over the phone aren't a secure method to pay due to various technological reasons. 

I called Chase on XX/XX/XXXX to check if my letters had been received but was initially told they had not been received. After informing Chase that I sent the letters with XXXX tracking numbers and could prove they received the letters on XX/XX/XXXX & XX/XX/XXXX respectively, they admitted they received the letters. This resulted in me having an additional support ticket created by Chase 's escalation department which is separate from the support ticket created by Chase 's XXXX office. I was told over the phone that Chase rejected my rejection of arbitration for XXXX account but not the other. I have yet to receive this letter of notice in the mail. 

My understanding is Chase has broken XXXX consumer finance laws through my correspondence with them over the past couple of months. I also have reason to believe their systems have been hacked or compromised since they have sent me multiple factually incorrect letters in error. My understanding is that this is a violation of Chase 's fiduciary responsibility to safeguard & protect my private financial data, and that they are liable for damages if I choose to sue them in a court of law.",2024-01-01 12:00:00-05:00,"Other features, terms, or problems",General-purpose credit card or charge card,97223,,True,8085570,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,OR,N/A,,Other problem,"I've been having a litany of problems with Chase over the past 2 months and I have reason to believe they have broken a multitude of consumer finance laws regarding both of my credit card accounts. 

At some point in [R] or [R] of [R], they introduced a new digital services agreement requiring consent to access your online accounts. Upon advice from a lawyer, I did not consent to either of these digital service agreements due to privacy concerns. Therefore, I have been locked out of my online Ch"
Credit card,"Hi, This is XXXX XXXX card act # - XXXX XXXX XXXX XXXX I am XXXX XXXX XXXX and have stellar credit, scoring in the XXXX range ( with the XXXX major bureaus ) This XXXX I applied for two chase cards and got instantly approved. I used the cards throughout the XXXX paid my bills on time, and early.However I was shocked when approximately 4 months after opening my account Chase bank notified me that my accounts were being closed, the reason they provided was "" due to previous accounts with chase ''. 

About 8 years ago I had XXXX credit cards from chase which were all one day terminated due to "" system generated closure '' at the time I attempted to get any more information I can from chase but no matter who I spoke to and sent letters to, no information was made available to me, other than "" the account were closed due to a system generated closure '' I was very upset, as I had relationships with other banks, and hadn't had any issues with any other banks, and here I was not being given any tangible info, or any recourse to have it reviewed. 

So now when I got closed from chase a second time, for the same reason as the first I was really preturbed, as I have around XXXX credit card accounts with a few different banks, none of my accounts were ever paid late in my lifetime, I have a stellar record and rating, and I'm just being stonewalled by everyone at Chase Bank. I even went for review at chase 's executive branch and they claimed as well, that they have no information other than I was closed due to pervious account closure, and when they attempt to find the reason for the previous account 's closure they come up empty. 
I'm being persecuted and taken advantage of here, this is aggravating, and humiliating, and I demand to be reinstated and have my accounts be returned to their good standing, unless there's a valid reason for me not being able to have a credit account with Chase bank, of which I deserve to know, as I believe I'm being racially targeted here. I only wish a good resolution, I trust you will help me achieve one. 
Looking forward to an expeditious resolution, XXXX XXXX XXXX XXXX XXXX",2023-12-31 12:00:00-05:00,Closing your account,General-purpose credit card or charge card,08701,,True,8086992,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,NJ,N/A,,Company closed your account,"Hi, This is [R] card act # - [R] I am [R] and have stellar credit, scoring in the [R] range ( with the [R] major bureaus ) This [R] I applied for two chase cards and got instantly approved. I used the cards throughout the [R] paid my bills on time, and early.However I was shocked when approximately 4 months after opening my account Chase bank notified me that my accounts were being closed, the reason they provided was "" due to previous accounts with chase ''. 

About 8 years ago I had [R] credit"
Credit reporting or other personal consumer reports,"JPMCB - Chase Bank is reporting late payments as well as delinquencies when it comes up on my credit bureau 's. This account was paid in full one year before the loan length. I should show a "" 0 '' balance paid as agreed but they continue to report late payments.

As per your rules 1016.7 I have never been given an opt-out notice nor have they followed Title 15 chapter 94 Commerce and trade Subchapter Sec. 6802- obligation with respect to disclosures of personal information. They never supplied section 6803 as prescribed under section 6804. I am asking for a complete removal of this reporting to all credit bureaus.",2024-01-03 12:00:00-05:00,Incorrect information on your report,Credit reporting,XXXXX,Older American,True,8082329,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,AK,N/A,,Old information reappears or never goes away,"JPMCB - Chase Bank is reporting late payments as well as delinquencies when it comes up on my credit bureau 's. This account was paid in full one year before the loan length. I should show a "" 0 '' balance paid as agreed but they continue to report late payments.

As per your rules 1016.7 I have never been given an opt-out notice nor have they followed Title 15 chapter 94 Commerce and trade Subchapter Sec. 6802- obligation with respect to disclosures of personal information. They never supplied "
Credit reporting or other personal consumer reports,I the consumer was not given a explanation how to exercise on how I can exercise a nondisclosure option of nonpublic personal information.,2023-12-31 12:00:00-05:00,Improper use of your report,Credit reporting,30213,,True,8086089,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-31 12:00:00-05:00,GA,N/A,,Reporting company used your report improperly,I the consumer was not given a explanation how to exercise on how I can exercise a nondisclosure option of nonpublic personal information.
